	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	Unnamed: 43
CuLaO	0.14871731317387532	0.21712907117008443	0.0343092406221409	0.03337412392924686	0.2152337677866794	0.13239772275916853	0.06961364427427777		0.011456065986940085	0.012631047113805733			0.011753643629525152			0.04361574528404754	0.013137151865475564					0.017355085039916694		0.009475080538184574			0.030959752321981428	
OYZr	0.14871731317387532	0.03618817852834741	0.12580054894784995	0.16687061964623429	0.05978715771852207	0.06619886137958426	0.08121591831999071	0.026849241508927372	0.03436819796082025	0.025262094227611467	0.04803073967339097	0.03481086098862845	0.011753643629525152	0.022611644997173545	0.04263028882020675	0.11994329953113074	0.013137151865475564	0.09237875288683603	0.06557377049180328	0.029568302779420463	0.03818615751789976	0.08677542519958348	0.00941265060240964	0.009475080538184574	0.009707795359673818	0.010399334442595673	0.02063983488132095	
BFeSm	0.14871731317387532	0.13268998793727382					0.12762501450284255	0.013424620754463686		0.05052418845522293	0.012007684918347743										0.10501193317422435							
BiGdO	0.14871731317387532	0.04825090470446321	0.04574565416285453	0.04449883190566248												0.010903936321011885	0.013137151865475564										0.010319917440660475	
BiCaCuOSrY	0.14871731317387532	0.08443908323281062	0.11436413540713633	0.15574591166981866	0.05978715771852207	0.052959089103667416	0.023204548091425917	0.013424620754463686	0.05728032993470042			0.011603620329542819			0.021315144410103376	0.010903936321011885												
CsISmYb	0.14871731317387532																											
GdLaTe	0.14871731317387532																											
CaLaMnNdO	0.14871731317387532	0.04825090470446321	0.022872827081427266	0.15574591166981866	0.023914863087408825	0.052959089103667416	0.023204548091425917	0.026849241508927372	0.04582426394776034		0.024015369836695485					0.09813542688910697		0.011547344110854504			0.03818615751789976			0.018950161076369147	0.009707795359673818	0.051996672212978365		
CHNY	0.14871731317387532	0.21712907117008443	0.08005489478499542	0.1112470797641562	0.07174458926222647	0.09267840593141798	0.046409096182851835	0.026849241508927372	0.08019246190858059	0.08841732979664013	0.09606147934678194	0.0696217219772569	0.2468265162200282	0.32786885245901637	0.24512416071618884	0.23988659906226148	0.13137151865475566	0.3233256351039261	0.09836065573770492	0.1675537157500493	0.10501193317422435	0.06074279763970844	0.08471385542168675	0.08527572484366117	0.029123386079021457	0.051996672212978365	0.07223942208462332	
CePdSn	0.14871731317387532			0.01112470797641562								0.011603620329542819	0.023507287259050304				0.013137151865475564	0.011547344110854504	0.03278688524590164		0.0477326968973747	0.008677542519958347	0.00941265060240964			0.03119800332778702		
BaCeCuLaO	0.13632420374271903	0.012062726176115802																										
BiOPr	0.13632420374271903			0.02224941595283124				0.026849241508927372				0.011603620329542819		0.011305822498586773			0.013137151865475564								0.019415590719347637			
CuGeLaMn	0.13632420374271903																											
CHNOYb	0.13632420374271903	0.13268998793727382	0.22872827081427266	0.3114918233396373	0.45438239866076763	0.13239772275916853	0.40607959159995355	0.7652033830044301	1.3861839844197503	0.49261083743842365	0.6123919308357348	0.9631004873520539	0.6464503996238834	0.9609949123798756	0.4582756048172226	0.5342928797295823	0.5648975302154493	1.0739030023094687	0.6010928961748634	0.768775872264932	0.4105011933174224	0.5553627212773342	0.7624246987951807	0.6537805571347356	0.6989612658965149	0.46797004991680535	0.4231166150670795	
FeHY	0.13632420374271903	0.21712907117008443		0.0556235398820781		0.026479544551833708	0.023204548091425917	0.053698483017854744		0.037893141341417205		0.023207240659085637		0.011305822498586773		0.02180787264202377		0.011547344110854504	0.02185792349726776			0.008677542519958347			0.019415590719347637			
