	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022
Zn	1.7577061675265082	1.589817366072517	1.776099403094165	1.9291896914274538	2.4933323545963932	3.25551356264651	3.4161490683229814	3.3258071799503277	3.3706334975145835	3.722393193338161	3.953010150507525	3.8222261029010505	3.8951661690377217	4.229372549728099	4.7120217950193775	4.676772095323227	4.665636186137325	4.586497538179088	5.108235414151376	5.162541906806795	5.217055523941143	4.798937419392097	4.490392648287385	4.72961590296496	4.986215214956491	4.388168465838368	4.846148215026476
Ir	1.7369662717444845	1.7726951305747238	1.61286392983311	1.868062007922148	1.967261249357704	1.7461608381572025	2.40918501788067	2.0388349514563107	2.5398915041877568	2.6882693700217235	2.88983199159958	2.5015825893344394	2.585719025037566	2.5202796697439975	3.083151068646637	3.0677646969322354	3.5246501789781974	3.8270883751981977	3.6492254323464897	4.2170490074208	4.5097959515486545	4.897110627731044	4.335839598997493	4.626431940700808	4.305591453433273	4.218435286396451	3.9725726556208976
Au	1.2573561817851864	1.5556801833654386	1.0817395541478865	0.863122891094919	1.406934351219751	1.2103525809692388	1.0540184453227932	1.8514337322194627	1.8476065097487344	2.034304851556843	2.0082254112705633	1.5913208618017507	1.6353453154577209	2.0469368213763075	2.5440313111545985	2.3944920976055077	2.290107386918321	2.810648418593007	2.8142908157192172	2.5313594756469655	2.894073652548573	3.1376927371075474	2.8404344193817876	3.1881738544474394	3.820970104247437	3.3018761174100977	3.7871208608867524
Li	1.2521712078396805	1.0923898466265147	0.9745401388719698	1.1320846985182649	1.208740120874012	1.1792565660431515	1.1622435535479014	0.9528110182885527	1.091767483033343	1.1947863866763215	0.9516100805040253	0.9953941193163214	0.9601311398630057	0.9159726111542701	1.0782395149840758	0.9813803990186196	1.1775951838594207	1.315196528415255	1.0644991242539152	0.9775115832297435	0.920656857166084	1.2781766732757127	1.1779448621553885	1.082378706199461	1.621866115275265	1.260551745988639	0.9516605256094287
Al	1.1769890856298446	1.1679793226207602	1.5275916676818126	1.70668492346814	2.0993907362548634	2.0212409701956657	1.9739318652362132	1.639196206818695	1.731847379531062	1.805756698044895	1.9907245362268111	1.9558621291829472	1.4733719727572547	1.553720799985547	1.8437511991097808	1.7098080982901918	1.5986007159127888	1.4820996411583076	1.6035505977179585	1.6442535879760425	1.3901308836679944	1.6766444012396773	2.0509607351712615	2.0826314016172507	2.319720858102869	2.459999547378188	2.2839852614626293
V	1.101806963420009	0.9387725244446612	0.7601413083201365	0.9535918626827717	1.20139959382417	1.0931445247093718	1.1881234707321664	1.3389026868367577	1.150781941575686	1.1087979724837076	1.6013300665033252	1.2704372312326735	1.4070214468317623	1.0876045599898827	1.0839952419323893	1.0764753989235245	1.1226814188089815	0.9830593340565802	1.1716292278130154	0.8682713677628358	0.7844890659295993	0.906658453483224	1.0254803675856308	1.0213106469002695	0.9261652451107092	0.9414533686378346	0.9516605256094287
Hg	0.8451507531174655	0.6900587647216601	0.6675599951272994	0.467015501980537	0.7805427096332184	0.7463043582260919	0.5152456239412762	0.7450891849175886	0.6105726672265473	0.5227190441708907	0.5469023451172559	0.5042457051799786	0.4000546416095857	0.46430958790265764	0.4662138828133993	0.4716711995283288	0.5471038073543768	0.48568805808228327	0.44042375907630044	0.6968772365992391	0.4389887001056825	0.4292671658742228	0.36549707602339176	0.38536051212938005	0.49539071250107697	0.3711498857129925	0.3806642102437715
Na	0.7958935006351593	0.6949355051083855	0.6334510902667804	0.7604283828060052	0.8930974577307984	0.7654403674113763	0.8210991906644081	0.8489501016030706	1.1575913021767257	0.9798153511947865	0.7831641582079104	0.7858374626181485	0.9035380442206741	0.7624071832487218	0.8671961935459115	0.9604594990395405	0.8216726326065734	0.9697070850371359	0.8978522964953152	0.9699777752665084	1.1340541419396797	0.9605574698261756	1.0797827903091062	0.8465296495956873	1.1307831481002844	1.158711838323489	1.1810351138332398
Se	0.7725611178803826	0.8192923849698861	0.6602509440857596	0.7188615580223972	0.9493748317795885	1.1936085729321149	0.8093355919442876	0.8715285617520885	0.9306126154754069	0.8146270818247647	1.0653657682884143	0.8054833991836022	0.7610795620865289	0.7714404437137541	1.0168450942020644	0.9376366990623632	0.8460787504067686	0.8311775014604021	0.8298331831244579	0.8117678080385731	0.7031948622063247	0.7699859477564535	0.9774436090225564	0.9075977088948787	0.8033945033169639	0.597460791635549	0.9907030087113541
Ga	0.6481217431882405	0.699812245495111	0.7698867097088561	0.7457577387647318	0.7780958672832708	0.703248337559202	0.639939770374553	0.803793181305035	0.5878747985564156	0.7060101375814627	0.8094154707735387	0.820763572067844	0.8313330601252854	0.5618688009250058	0.7117915659414451	0.6124117993875882	0.6020175724048161	0.5224067428857548	0.4931385719387148	0.6045880890496101	0.7479066742541257	0.7237867908910662	0.6516290726817042	0.7601920485175202	0.6009304729904368	1.1790798198565189	0.819892145140431
As	0.6455292562154875	0.46329033673892367	0.4141795590205871	0.3545405643307741	0.5529863710881108	0.4520882170023442	0.6752305665349144	0.4244750508015353	0.39040334112626823	0.6132331643736423	0.5665908295414771	0.41474754971513395	0.48396854204476714	0.3920435041823995	0.3453436168988143	0.3100096996899903	0.3254149040026033	0.3037636651923558	0.2618735864778003	0.21283007496138923	0.32720916998618	0.31184430884136366	0.3738512949039265	0.35798517520215634	0.2692340828810201	0.5861452463394211	0.4782704179985847
